[Tue Oct 14 11:33:58 PDT 2025] Running PartyScene_832x480_50 mode=PSNR lambda=256
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:523: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
Frame 9 PSNR = 24.616007
Frame 8 PSNR = 24.346172
Frame 15 PSNR = 26.53663
Frame 16 PSNR = 25.578901
Frame 17 PSNR = 24.968046
Frame 18 PSNR = 24.68786
Frame 19 PSNR = 24.445349
Frame 20 PSNR = 24.230661
Frame 27 PSNR = 28.911518428814986
Frame 26 PSNR = 26.49625
Frame 25 PSNR = 25.54814
Frame 24 PSNR = 25.110548
Frame 23 PSNR = 24.797651
Frame 22 PSNR = 24.498245
Frame 21 PSNR = 24.186811
Frame 28 PSNR = 26.54623
Frame 29 PSNR = 25.699408
Frame 30 PSNR = 25.351973
Frame 31 PSNR = 25.16704
Frame 32 PSNR = 25.022312
Frame 33 PSNR = 24.88764
Frame 40 PSNR = 29.28359335419701
Frame 39 PSNR = 27.828024
Frame 38 PSNR = 27.273348
Frame 37 PSNR = 26.551561
Frame 36 PSNR = 25.935617
Frame 35 PSNR = 25.404448
Frame 34 PSNR = 24.982286
Frame 41 PSNR = 27.556877
Frame 42 PSNR = 26.965256
Frame 43 PSNR = 26.577843
Frame 44 PSNR = 26.203781
Frame 45 PSNR = 25.896606
Frame 46 PSNR = 25.527365
Frame 53 PSNR = 28.939713966211684
Frame 52 PSNR = 27.112417
Frame 51 PSNR = 26.527527
Frame 50 PSNR = 26.111893
Frame 49 PSNR = 25.774664
Frame 48 PSNR = 25.50891
Frame 47 PSNR = 25.317736
Frame 54 PSNR = 26.96364
Frame 55 PSNR = 26.208315
Frame 56 PSNR = 25.76532
Frame 57 PSNR = 25.5194
Frame 58 PSNR = 25.209682
Frame 59 PSNR = 25.00603
Frame 66 PSNR = 28.93236953820587
Frame 65 PSNR = 27.148874
Frame 64 PSNR = 26.349495
Frame 63 PSNR = 25.917173
Frame 62 PSNR = 25.673504
Frame 61 PSNR = 25.39671
Frame 60 PSNR = 25.033012
Frame 67 PSNR = 27.110943
Frame 68 PSNR = 26.379086
Frame 69 PSNR = 25.950779
Frame 70 PSNR = 25.755156
Frame 71 PSNR = 25.608463
Frame 72 PSNR = 25.415483
Frame 79 PSNR = 29.158291115836953
Frame 78 PSNR = 27.666784
Frame 77 PSNR = 27.022348
Frame 76 PSNR = 26.514738
Frame 75 PSNR = 26.014647
Frame 74 PSNR = 25.703936
Frame 73 PSNR = 25.35269
Frame 80 PSNR = 27.619665
Frame 81 PSNR = 27.0291
Frame 82 PSNR = 26.624489
Frame 83 PSNR = 26.339546
Frame 84 PSNR = 26.083471
Frame 85 PSNR = 25.754467
Frame 92 PSNR = 29.220329300458992
Frame 91 PSNR = 27.662018
Frame 90 PSNR = 27.100445
Frame 89 PSNR = 26.656885
Frame 88 PSNR = 26.32443
Frame 87 PSNR = 26.036406
Frame 86 PSNR = 25.771357
Frame 93 PSNR = 27.451113
Frame 94 PSNR = 26.742167
Frame 95 PSNR = 26.200268
Frame 96 PSNR = 25.669954
Frame 97 PSNR = 25.246199
Frame 98 PSNR = 24.997402
Frame 99 PSNR = 24.95326
Frame 100 PSNR = 24.833187
Average PSNR: 26.19357359805939
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:523: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:524: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:526: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:527: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:532: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Frame 3 mv_bits = 704
Frame 4 mv_bits = 23328
Frame 5 mv_bits = 6616
Frame 6 mv_bits = 5776
Frame 7 mv_bits = 5288
Frame 12 mv_bits = 6528
Frame 11 mv_bits = 5584
Frame 10 mv_bits = 5488
Frame 9 mv_bits = 5520
Frame 8 mv_bits = 5256
Frame 16 mv_bits = 6392
Frame 17 mv_bits = 5600
Frame 18 mv_bits = 5768
Frame 19 mv_bits = 5504
Frame 20 mv_bits = 5304
Frame 25 mv_bits = 6776
Frame 24 mv_bits = 5720
Frame 23 mv_bits = 5488
Frame 22 mv_bits = 5272
Frame 21 mv_bits = 5144
Frame 29 mv_bits = 6376
Frame 30 mv_bits = 5656
Frame 31 mv_bits = 5656
Frame 32 mv_bits = 5632
Frame 33 mv_bits = 5432
Frame 38 mv_bits = 5488
Frame 37 mv_bits = 5184
Frame 36 mv_bits = 4992
Frame 35 mv_bits = 4976
Frame 34 mv_bits = 5464
Frame 42 mv_bits = 6064
Frame 43 mv_bits = 5064
Frame 44 mv_bits = 4776
Frame 45 mv_bits = 4744
Frame 46 mv_bits = 4544
Frame 51 mv_bits = 5936
Frame 50 mv_bits = 5240
Frame 49 mv_bits = 5456
Frame 48 mv_bits = 4936
Frame 47 mv_bits = 4744
Frame 55 mv_bits = 6400
Frame 56 mv_bits = 5336
Frame 57 mv_bits = 4944
Frame 58 mv_bits = 4752
Frame 59 mv_bits = 4728
Frame 64 mv_bits = 5944
Frame 63 mv_bits = 5016
Frame 62 mv_bits = 4832
Frame 61 mv_bits = 4912
Frame 60 mv_bits = 4800
Frame 68 mv_bits = 5896
Frame 69 mv_bits = 5184
Frame 70 mv_bits = 4776
Frame 71 mv_bits = 4808
Frame 72 mv_bits = 4592
Frame 77 mv_bits = 5568
Frame 76 mv_bits = 5152
Frame 75 mv_bits = 4784
Frame 74 mv_bits = 4720
Frame 73 mv_bits = 4584
Frame 81 mv_bits = 5936
Frame 82 mv_bits = 5256
Frame 83 mv_bits = 4752
Frame 84 mv_bits = 4560
Frame 85 mv_bits = 4880
Frame 90 mv_bits = 5512
Frame 89 mv_bits = 5232
Frame 88 mv_bits = 4864
Frame 87 mv_bits = 4672
Frame 86 mv_bits = 4752
Frame 94 mv_bits = 5432
Frame 95 mv_bits = 4992
Frame 96 mv_bits = 4928
Frame 97 mv_bits = 4584
Frame 98 mv_bits = 4912
Frame 99 mv_bits = 6840
Frame 100 mv_bits = 6160
Frame 3 res_bits = 3800
Frame 4 res_bits = 28728
Frame 5 res_bits = 18168
Frame 6 res_bits = 12648
Frame 7 res_bits = 10576
Frame 12 res_bits = 15096
Frame 11 res_bits = 14896
Frame 10 res_bits = 14544
Frame 9 res_bits = 12480
Frame 8 res_bits = 10456
Frame 16 res_bits = 15464
Frame 17 res_bits = 14752
Frame 18 res_bits = 13472
Frame 19 res_bits = 12040
Frame 20 res_bits = 9728
Frame 25 res_bits = 15176
Frame 24 res_bits = 14488
Frame 23 res_bits = 13320
Frame 22 res_bits = 12096
Frame 21 res_bits = 10120
Frame 29 res_bits = 15288
Frame 30 res_bits = 14520
Frame 31 res_bits = 12968
Frame 32 res_bits = 11704
Frame 33 res_bits = 9944
Frame 38 res_bits = 12296
Frame 37 res_bits = 17368
Frame 36 res_bits = 12640
Frame 35 res_bits = 11760
Frame 34 res_bits = 10288
Frame 42 res_bits = 12208
Frame 43 res_bits = 11456
Frame 44 res_bits = 10576
Frame 45 res_bits = 8960
Frame 46 res_bits = 7760
Frame 51 res_bits = 13512
Frame 50 res_bits = 12816
Frame 49 res_bits = 11432
Frame 48 res_bits = 10272
Frame 47 res_bits = 8336
Frame 55 res_bits = 13192
Frame 56 res_bits = 12536
Frame 57 res_bits = 11264
Frame 58 res_bits = 9664
Frame 59 res_bits = 7912
Frame 64 res_bits = 13120
Frame 63 res_bits = 12576
Frame 62 res_bits = 11912
Frame 61 res_bits = 10272
Frame 60 res_bits = 8080
Frame 68 res_bits = 13712
Frame 69 res_bits = 12120
Frame 70 res_bits = 11056
Frame 71 res_bits = 9320
Frame 72 res_bits = 7496
Frame 77 res_bits = 12352
Frame 76 res_bits = 12056
Frame 75 res_bits = 11392
Frame 74 res_bits = 10144
Frame 73 res_bits = 8536
Frame 81 res_bits = 12880
Frame 82 res_bits = 11912
Frame 83 res_bits = 10432
Frame 84 res_bits = 8824
Frame 85 res_bits = 7464
Frame 90 res_bits = 12248
Frame 89 res_bits = 11792
Frame 88 res_bits = 10680
Frame 87 res_bits = 9496
Frame 86 res_bits = 7648
Frame 94 res_bits = 12872
Frame 95 res_bits = 11904
Frame 96 res_bits = 11256
Frame 97 res_bits = 10336
Frame 98 res_bits = 9232
Frame 99 res_bits = 33816
Frame 100 res_bits = 15328
Average bpp: 0.10836658653846154
